lat,long
85.323476,27.64645
-70.6692655,-33.4488897
-70.6184469,-33.4236536
149.5648405,-33.4294833
4.3566444,52.0089365
-72.1029454,41.55397929999999
13.5341959,52.4320842
-1.8835619,52.4838753
12.4309111,51.3517518
149.120665,-35.2754164
NA,NA
-97.07372219999999,36.1270236
NA,NA
144.9630576,-37.8136276
106.8507575,-6.4940272
-87.7323202,42.1060221
-77.10445969999999,39.0027771
145.1298842,-37.9112505
-97.153487,49.89125430000001
-122.6810059,45.5090285
-79.39595179999999,43.66090860000001
153.0658032,-26.7169935
10.2068193,56.1666413
-73.67888839999999,42.7297628
-97.7384129,30.2860893
-114.1253711,51.0802753
77.20983470000002,28.6820077
-120.4829677,37.3021632
-120.4224179,37.3660652
-74.25761299999999,40.805059
17.1069076,48.1493116
NA,NA
18.6194313,48.7728103
19.1371155,48.5761806
-63.59590479999999,44.6369254
-0.6282833,52.0746136
